8点40分	8點40分	8 dian3 40 fen1	8 diǎn 40 fēn	8:40 (time of day)	8 giờ 40 phút
她没去看电影。	她沒去看電影。	Ta1 mei2 qu4 kan4 dian4ying3．	Tā méi qù kàn diànyǐng．	She didn't go to the movie.	Cô ấy đã không đi xem phim.
这是你的桌子吗？	這是你的桌子嗎？	Zhe4 shi4 ni3 de zhuo1zi ma?	Zhè shì nǐ de zhuōzi ma?	Is this your table?	Đây là cái bàn của bạn phải không?
我是老师，你呢？	我是老師，你呢？	Wo3 shi4 lao3shi1, ni3 ne?	Wǒ shì lǎoshī, nǐ ne?	I am a teacher. What about you?	Tôi là giáo viên, còn bạn thì sao?
那个人是谁？	那個人是誰？	Na4ge ren2 shi4 shei2?	Nàge rén shì shéi?	Who is that person?	Người kia là ai?
这些杯子，你喜欢哪一个？	這些杯子，你喜歡哪一個？	Zhe4xie1 bei1zi， ni3 xi3huan na3 yi2 ge?	Zhèxiē bēizi， nǐ xǐhuan nǎ yí ge?	Which one of these cups do you like?	Trong những cái cốc này, bạn thích cái nào?
你想去哪儿？	你想去哪兒？	Ni3 xiang3 qu4 na3r?	Nǐ xiǎng qù nǎr?	Where do you want to go?	Bạn muốn đi đâu?
你爱吃什么水果？	你愛吃什麼水果？	Ni3 ai4 chi1 shen2me shui3guo3?	Nǐ ài chī shénme shuǐguǒ?	Which fruit do you like?	Bạn thích ăn trái cây gì?
你们学校有多少学生？	你們學校有多少學生？	Ni3men xue2xiao4 you3 duo1shao xue2sheng?	Nǐmen xuéxiào yǒu duōshao xuésheng?	Your school has how many students?	Trường của các bạn có bao nhiêu học sinh?
你几岁了？	你幾歲了？	Ni3 ji3 sui4 le?	Nǐ jǐ suì le?	How old are you?	Bạn mấy tuổi rồi?
你怎么了？	你怎麼了？	Ni3 zen3me le?	Nǐ zěnme le?	Are you okay/What happened to you?	Bạn bị sao thế? / Có chuyện gì với bạn vậy?
这本书怎么样？	這本書怎麼樣？	Zhe4 ben3 shu1 zen3meyang4?	Zhè běn shū zěnmeyàng?	How is this book?	Cuốn sách này như thế nào?
请坐。	請坐。	Qing3 zuo4．	Qǐng zuò．	Have a seat.	Mời ngồi.
太好了！	太好了！	Tai4 hao3 le!	Tài hǎo le!	That's great!	Tốt quá rồi! / Tuyệt quá!
他是我的同学。	他是我的同學。	Ta1 shi4 wo3 de tong2xue2．	Tā shì wǒ de tóngxué．	He is my classmate.	Cậu ấy là bạn học của tôi.
一年有12个月。	一年有12個月。	Yin4ian2 you3 12 ge yue4．	Yìnián yǒu 12 ge yuè．	A year has 12 months.	Một năm có 12 tháng.
我是昨天来的。	我是昨天來的。	Wo3 shi4 zuo2tian1 lai2 de．	Wǒ shì zuótiān lái de．	I arrived yesterday.	Tôi đến từ hôm qua.
这是在火车站买的。	這是在火車站買的。	Zhe4 shi4 zai4 huo3che1zhan4 mai3 de．	Zhè shì zài huǒchēzhàn mǎi de．	I bought this at the train station.	Cái này mua ở ga tàu hỏa.
他是坐飞机来的。	他是坐飛機來的。	Ta1 shi4 zuo4 fei1ji1 lai2 de．	Tā shì zuò fēijī lái de．	He came here by plane.	Anh ấy đi máy bay đến.
他们在吃饭呢。	他們在吃飯呢。	Ta1men zai4 chi1 fan4 ne．	Tāmen zài chī fàn ne．	They are eating.	Họ đang ăn cơm.
6元	6元	6 yuan2	6 yuán	RMB6	6 Nhân dân tệ (6 tệ)
第三	第三	di4-san1	dì-sān	3rd	Thứ ba (thứ tự)
9公斤	9公斤	9 gong1jin1	9 gōngjīn	9kg	9 kg (cân)
等一下。	等一下。	Deng3 yi2xia4．	Děng yíxià．	Wait a moment.	Chờ một chút.
每次	每次	mei3 ci4	měi cì	Every time	Mỗi lần
你别去游泳了。	你別去游泳了。	Ni3 bie2 qu4 you2yong3 le．	Nǐ bié qù yóuyǒng le．	Don't go to swim	Bạn đừng đi bơi nữa.
那里的天气非常热。	那裡的天氣非常熱。	Na4li3 de tian1qi4 fei1chang2 re4．	Nàlǐ de tiānqì fēicháng rè．	The weather there is very hot.	Thời tiết ở đó rất nóng.
我最喜欢喝咖啡。	我最喜歡喝咖啡。	Wo3 zui4 xi3huan he1 ka1fei1．	Wǒ zuì xǐhuan hē kāfēi．	Coffee is my favourite drink.	Tôi thích uống cà phê nhất.
他们一起去机场了。	他們一起去機場了。	Ta1men yi4qi3 qu4 ji1chang3 le．	Tāmen yìqǐ qù jīchǎng le．	They went to the airport together.	Họ cùng nhau đi sân bay rồi.
我们正在看电视。	我們正在看電視。	Wo3men zheng4zai4 kan4 dian4shi4．	Wǒmen zhèngzài kàn diànshì．	We are watching TV.	Chúng tôi đang xem tivi.
他已经到学校了。	他已經到學校了。	Ta1 yi3jing1 dao4 xue2xiao4 le．	Tā yǐjīng dào xuéxiào le．	He already arrived at school.	Anh ấy đã đến trường rồi.
她下星期就回来了。	她下星期就回來了。	Ta1 xia4 xing1qi1 jiu4 hui2lai le．	Tā xià xīngqī jiù huílai le．	She is coming back next week.	Tuần sau cô ấy sẽ về.
我也有一块这样的手表。	我也有一塊這樣的手表。	Wo3 ye3 you3 yi2 kuai4 zhe4yang4 de shou3biao3．	Wǒ yě yǒu yí kuài zhèyàng de shǒubiǎo．	I also have a watch like this.	Tôi cũng có một chiếc đồng hồ như thế này.
她还没起床。	她還沒起床。	Ta1 hai2 mei2 qi3chuang2．	Tā hái méi qǐchuáng．	She hasn't got up yet.	Cô ấy vẫn chưa dậy.
你的字写得真漂亮！	你的字寫得真漂亮！	Ni3 de zi4 xie3 de zhen1 piao4liang!	Nǐ de zì xiě de zhēn piàoliang!	Your handwriting is really good!	Chữ của bạn viết đẹp thật đấy!
欢迎再来！	歡迎再來！	Huan1ying2 zai4 lai2!	Huānyíng zài lái!	Come back soon!	Chào mừng lần sau lại đến!
因为下雨，所以他没去踢足球。	因為下雨，所以他沒去踢足球。	Yin1wei4 xia4 yu3, suo3yi3 ta1 mei2 qu4 ti1 zu2qiu2.	Yīnwèi xià yǔ, suǒyǐ tā méi qù tī zúqiú.	Because it's raining, he didn't play football.	Vì trời mưa nên anh ấy không chơi bóng đá.
虽然下雨，但是他去踢足球。	雖然下雨，但是他去踢足球。	Sui1ran2 xia4 yu3, dan4shi4 ta1 qu4 ti1 zu2qiu2.	Suīrán xià yǔ, dànshì tā qù tī zúqiú.	Although it's raining, he played football.	Mặc dù trời mưa, anh ấy vẫn chơi bóng đá.
他80岁了，但是身体很好。	他80歲了，但是身體很好。	Ta1 80 sui4 le, dan4shi4 shen1ti3 hen3hao3.	Tā 80 suì le, dànshì shēntǐ hěnhǎo.	He is 80 years old, but he is very healthy.	Ông ấy 80 tuổi nhưng vẫn rất khỏe mạnh.
她从中国回来了。	她從中國回來了。	Ta1 cong2 Zhong1guo2 hui2lai le．	Tā cóng Zhōngguó huílai le．	She came back from China.	Cô ấy vừa trở về từ Trung Quốc.
他对我很好。	他對我很好。	Ta1 dui4 wo3 hen3 hao3．	Tā duì wǒ hěn hǎo．	He is nice to me.	Anh ấy đối xử với tôi rất tốt.
我比她高。	我比她高。	Wo3 bi3 ta1 gao1．	Wǒ bǐ tā gāo．	I am taller than her.	Tôi cao hơn cô ấy.
向左走。	向左走。	Xiang4 zuo3 zou3．	Xiàng zuǒ zǒu．	Go left.	Đi về phía bên trái.
学校离我家很近。	學校離我家很近。	Xue2xiao4 li2 wo3 jia1 hen3 jin4．	Xuéxiào lí wǒ jiā hěn jìn．	School is close to my home.	Trường học ở rất gần nhà tôi.
现在你可以走了。	現在你可以走了。	Xian4zai4 ni3 ke3yi3 zou3 le．	Xiànzài nǐ kěyǐ zǒu le．	Now you can go.	Bây giờ bạn có thể đi rồi.
我要学游泳。	我要學游泳。	Wo3 yao4 xue2 you2yong3．	Wǒ yào xué yóuyǒng．	I want to learn to swim.	Tôi muốn học bơi.
明天可能下雨。	明天可能下雨。	Ming2tian1 ken3eng2 xia4 yu3．	Míngtiān kěnéng xià yǔ．	It might rain tomorrow.	Ngày mai có thể sẽ mưa.
书是哥哥的。	書是哥哥的。	Shu1 shi4 ge1ge de．	Shū shì gēge de．	The book is my older brother's.	Cuốn sách này là của anh trai tôi.
那个杯子是我的。	那個杯子是我的。	Na4ge bei1zi shi4 wo3 de．	Nàge bēizi shì wǒ de．	That cup is mine.	Cái cốc kia là của tôi.
这件衣服是最便宜的。	這件衣服是最便宜的。	Zhe4 jian4 yi1fu shi4 zui4 pian2yi de．	Zhè jiàn yīfu shì zuì piányi de．	This item of clothing is the cheapest.	Bộ quần áo này là rẻ nhất.
我买了一些吃的。	我買了一些吃的。	Wo3 mai3le yi4xie1 chi1 de．	Wǒ mǎile yìxiē chī de．	I bought some food.	Tôi đã mua một ít đồ ăn.
那边打电话的是我丈夫。	那邊打電話的是我丈夫。	Na4bian1 da3 dian4hua4 de shi4 wo3 zhang4fu．	Nàbiān dǎ diànhuà de shì wǒ zhàngfu．	My husband is making a phone call there.	Chồng tôi đang gọi điện thoại ở đó.
你做的对。	你做的對。	Ni3 zuo4 de dui4．	Nǐ zuò de duì．	You did the right thing.	Bạn làm đúng rồi.
现在快10点了吧？	現在快10點了吧？	Xian4zai4 kuai4 10 dian3 le ba?	Xiànzài kuài 10 diǎn le ba?	It's almost 10 o'clock?	Bây giờ sắp 10 giờ rồi nhỉ?
她笑着说：“明天见。”	她笑著說：“明天見。”	Ta1 xiao4zhe shuo1: "Ming2tian1 jian4."	Tā xiàozhe shuō: "Míngtiān jiàn."	She smiled and said "see you tomorrow."	Cô ấy mỉm cười nói: "Ngày mai gặp lại."
我买了一本书。	我買了一本書。	Wo3 mai3le yi4 ben3 shu1．	Wǒ mǎile yì běn shū．	I bought a book.	Tôi đã mua một cuốn sách.
我学过汉语。	我學過漢語。	Wo3 xue2guo Han4yu3．	Wǒ xuéguo Hànyǔ．	I studied Chinese before.	Tôi từng học tiếng Trung rồi.
你去问问他。	你去問問他。	Ni3 qu4 wen4wen ta1．	Nǐ qù wènwen tā．	You go and ask him.	Bạn đi hỏi anh ấy thử xem.
让我想一想。	讓我想一想。	Rang4 wo3 xiang3yixiang3．	Ràng wǒ xiǎngyixiǎng．	Let me have a think.	Để tôi suy nghĩ một chút.
你是中国人吧？	你是中國人吧？	Ni3 shi4 Zhong1guo2ren2 ba?	Nǐ shì Zhōngguórén ba?	Are you Chinese?	Bạn là người Trung Quốc phải không?
他为什么没来？	他為什麼沒來？	Ta1 wei4 shen2me mei2 lai2?	Tā wèi shénme méi lái?	Why isn't he here?	Sao anh ấy không có ở đây?
从这儿到那儿多远？	從這兒到那兒多遠？	Cong2 zher4 dao4 na4r duo1 yuan3?	Cóng zhèr dào nàr duō yuǎn?	How far is it from here to there?	Từ đây đến đó bao xa?
你喝不喝茶？	你喝不喝茶？	Ni3 he1buhe1 cha2?	Nǐ hēbuhē chá?	Do you want some tea? (lit. Do you drink tea?)	Bạn có uống trà không?
我们一起去，好吗？	我們一起去，好嗎？	Wo3men yi4qi3 qu4, hao3 ma?	Wǒmen yìqǐ qù, hǎo ma?	Can we go together?	Chúng ta cùng đi nhé, được không?
别说话。	別說話。	Bie2 shuo1hua4．	Bié shuōhuà．	Don't speak.	Đừng nói chuyện.
不要吃太多。	不要吃太多。	Bu2 yao4 chi1 tai4 duo1．	Bú yào chī tài duō．	Don't eat too much.	Đừng ăn nhiều quá.
真好吃！	真好吃！	Zhen1 hao3chi1!	Zhēn hǎochī!	Really yummy!	Ngon quá!
今天比昨天冷。	今天比昨天冷。	Jin1tian1 bi3 zuo2tian1 leng3．	Jīntiān bǐ zuótiān lěng．	Today is colder than yesterday.	Hôm nay lạnh hơn hôm qua.
他们正在打篮球。	他們正在打籃球。	Ta1men zheng4zai4 da3 lan2qiu2．	Tāmen zhèngzài dǎ lánqiú．	They are playing basketball.	Họ đang chơi bóng rổ.
他买了一斤苹果。	他買了一斤蘋果。	Ta1 mai3le yi4 jin1 ping2guo3．	Tā mǎile yì jīn píngguǒ．	He bought 500g of apples.	Anh ấy đã mua 500g táo.
我看过这个电影。	我看過這個電影。	Wo3 kan4 guo4 zhe4 ge4 dian4 ying3.	Wǒ kàn guò zhè gè diàn yǐng.	I saw this movie.	Tôi từng xem bộ phim này rồi.
火车要开了。	火車要開了。	Huo3che1 yao4 kai1 le．	Huǒchē yào kāi le．	The train is about to leave.	Tàu hỏa sắp chạy rồi.
外面下着雨。	外面下著雨。	Wai4mian4 xia4zhe yu3.	Wàimiàn xiàzhe yǔ.	It's raining outside.	Bên ngoài trời đang mưa.
5点1刻	5點1刻	5 dian3 1 ke4	5 Diǎn 1 kè	Quarter past 5	5 giờ 15 phút (5 giờ 1 khắc)
10000米	10000米	10000 mi3	10000 Mǐ	10,000 meters	10.000 mét
四五千个	四五千個	si4wu3qian1 ge4	Sìwǔqiān gè	4 or 5 thousand of	Khoảng bốn năm nghìn cái
800多人	800多人	800 duo1 ren2	800 Duō rén	Over 800 people	Hơn 800 người
一双鞋	一雙鞋	yi1shuang1 xie2	Yīshuāng xié	A pair of shoes	Một đôi giày
两条鱼	兩條魚	liang3 tiao2 yu2	Liǎng tiáo yú	Two fishies	Hai con cá
第10层	第10層	di4 10 ceng2	Dì 10 céng	10th floor	Tầng 10
3角5分	3角5分	jiao3 5 fen1	Jiǎo 5 fēn	35 cents	3 hào 5 xu (35 xu)
两种	兩種	liang3 zhong3	Liǎng zhǒng	Two types	Hai loại
他坐了一会儿。	他坐了一會兒。	ta1 zuo4le yi1hui3'er.	Tā zuòle yīhuǐ'er.	He stayed for a while.	Anh ấy đã ngồi một lát.
快一点儿。	快一點兒。	kuai4 yi1dian3 er.	Kuài yīdiǎn er.	Hurry up.	Nhanh lên.
我明天一定来。	我明天一定來。	wo3 ming2tian1 yi1ding4 lai2.	Wǒ míngtiān yīdìng lái.	I'll come tomorrow for sure	Ngày mai tôi nhất định sẽ đến.
我们必须想个好办法。	我們必須想個好辦法。	wo3men bi4xu1 xiang3 ge4 hao3 ban4fa3.	Wǒmen bìxū xiǎng gè hǎo bànfǎ.	We have to think of a good plan.	Chúng ta phải nghĩ ra một cách hay.
明天会更好。	明天會更好。	ming2tian1 hui4 geng4 hao3.	Míngtiān huì gèng hǎo.	Tomorrow will be better.	Ngày mai sẽ tốt đẹp hơn.
雨越下越大。	雨越下越大。	yu3 yue4 xia4yue4 da4.	Yǔ yuè xiàyuè dà.	Rain is getting heavier.	Mưa càng lúc càng to.
这儿的西瓜特别甜。	這兒的西瓜特別甜。	zhe4'er de xi1gua1 te4bie2 tian2.	Zhè'er de xīguā tèbié tián.	The watermelon here is very sweet.	Dưa hấu ở đây đặc biệt ngọt.
这些孩子多可爱呀！	這些孩子多可愛呀！	zhe4xie1 hai2zi duo1 ke3'ai4 ya!	Zhèxiē háizi duō kě'ài ya!	These children are so cute!	Những đứa trẻ này đáng yêu quá đi!
她唱得好极了！	她唱得好極了！	ta1 chang4 de hao3 ji2le!	Tā chàng de hǎo jíle!	She sang really well!	Cô ấy hát hay tuyệt cú mèo!
中国的大城市，我几乎都去过。	中國的大城市，我幾乎都去過。	zhong1guo2 de da4 cheng2shi4, wo3 ji1hu1 dou1 qu4guo4.	Zhōngguó de dà chéngshì, wǒ jīhū dōu qùguò.	Chinese big cities; I have been to almost all of them.	Các thành phố lớn của Trung Quốc hầu như tôi đều đã đi qua.
这些药一共300元。	這些藥一共300元。	zhe4xie1 yao4 yi1gong4 300 yuan2.	Zhèxiē yào yīgòng 300 yuán.	These medicines together are RMB300.	Những chỗ thuốc này tổng cộng hết 300 tệ.
我只去过一次北京。	我隻去過一次北京。	wo3 zhi3 qu4guo4 yi1ci4 bei3jing1.	Wǒ zhǐ qùguò yīcì běijīng.	I've only been to Beijing once.	Tôi mới chỉ đi Bắc Kinh một lần.
我先说几句。	我先說幾句。	wo3 xian1 shuo1 ji3 ju4.	Wǒ xiān shuō jǐ jù.	I will first say a few sentences.	Tôi xin nói vài câu trước.
他晚上11点才下班。	他晚上11點才下班。	ta1 wan3shang4 11 dian3 cai2 xia4ban1.	Tā wǎnshàng 11 diǎn cái xiàbān.	He didn't get off work until 11 in the evening.	Mãi đến 11 giờ đêm anh ấy mới tan làm.
他的成绩一直很好。	他的成績一直很好。	ta1 de cheng2ji1 yi1zhi2 hen3 hao3.	Tā de chéngjī yīzhí hěn hǎo.	His grades are always very good.	Thành tích của cậu ấy luôn rất tốt.
她总是很忙。	她總是很忙。	ta1 zong3 shi4 hen3 mang2.	Tā zǒng shì hěn máng.	She is always very busy.	Cô ấy lúc nào cũng bận rộn.
请安静，节目马上开始。	請安靜，節目馬上開始。	qing3 an1jing4, jie2mu4 ma3shang4 kai1shi3.	Qǐng ānjìng, jiémù mǎshàng kāishǐ.	Please be quiet, the show is about to begin.	Xin hãy im lặng, chương trình sắp sửa bắt đầu rồi.
考试终于结束了。	考試終於結束了。	kao3shi4 zhong1yu2 jie2shu4le.	Kǎoshì zhōngyú jiéshùle.	The exam finally ended.	Kỳ thi cuối cùng cũng kết thúc rồi.
这道题其实很容易。	這道題其實很容易。	zhe4 dao4 ti2 qi2shi2 hen3 rong2yi4.	Zhè dào tí qíshí hěn róngyì.	This problem is actually very easy.	Câu hỏi này thực ra rất dễ.
那样做当然不可以。	那樣做當然不可以。	na4yang4 zuo4 dang1ran2 bu4 ke3yi3.	Nàyàng zuò dāngrán bù kěyǐ.	Doing that is of course not allowed.	Làm như vậy đương nhiên là không được rồi.
今天他又迟到了。	今天他又遲到了。	jin1tian1 ta1 you4 chi2dao4le.	Jīntiān tā yòu chídàole.	He is late again today.	Hôm nay anh ấy lại đến muộn nữa rồi.
最近他经常去爬山。	最近他經常去爬山。	zui4jin4 ta1 jing1chang2 qu4 pa2shan1.	Zuìjìn tā jīngcháng qù páshān.	Recently he has often gone climbing.	Dạo này anh ấy thường xuyên đi leo núi.
房子虽然旧了，但是很干净。	房子雖然舊了，但是很干淨。	fang2zi sui1ran2 jiu4le, dan4shi4 hen3 gan1jing4.	Fángzi suīrán jiùle, dànshì hěn gānjìng.	Although the house is old, it is very clean.	Ngôi nhà tuy đã cũ nhưng rất sạch sẽ.
虽然X，但是Y。	雖然X，但是Y。	sui1ran2 x, dan4shi4 y.	Suīrán X, dànshì Y.	Although X, Y.	Tuy X nhưng Y.
她会说汉语，而且说得很好。	她會說漢語，而且說得很好。	ta1 hui4 shuo1 han4yu3, er2qie3 shuo1 de hen3 hao3.	Tā huì shuō hànyǔ, érqiě shuō de hěn hǎo.	She can speak Chinese, and can speak very well.	Cô ấy biết nói tiếng Trung, hơn nữa còn nói rất tốt.
先吃饭，然后去看电影。	先吃飯，然后去看電影。	xian1 chi1fan4, ran2hou4 qu4 kan4 dian4ying3.	Xiān chīfàn, ránhòu qù kàn diànyǐng.	First eat, then watch a movie.	Ăn cơm trước, sau đó đi xem phim.
先X，然后Y。	先X，然后Y。	xian1 x, ran2hou4 y.	Xiān X, ránhòu Y.	First X, then Y.	Trước tiên X, sau đó Y.
如果大家都同意，就这样决定了。	如果大家都同意，就這樣決定了。	ru2guo3 da4jia1 dou1 tong2yi4, jiu4 zhe4yang4 jue2ding4le.	Rúguǒ dàjiā dōu tóngyì, jiù zhèyàng juédìngle.	If everyone agrees, then we'll decide on this.	Nếu mọi người đều đồng ý thì quyết định như vậy đi.
他一边上网，一边听音乐。	他一邊上網，一邊聽音樂。	ta1 yi1bian1 shang4wang3, yi1bian1 ting1 yin1yue4.	Tā yībiān shàngwǎng, yībiān tīng yīnyuè.	He is web surfing, and also listening to music.	Anh ấy vừa lướt mạng vừa nghe nhạc.
一边X，一边Y。	一邊X，一邊Y。	yi1bian1 x, yi1bian1 y.	Yībiān X, yībiān Y.	Doing X, and also Y at the same time.	Làm việc X và cả việc Y cùng một lúc.
给我打电话或者发电子邮件都可以。	給我打電話或者發電子郵件都可以。	gei3 wo3 da3 dian4hua4 huo4zhe3 fa1 dian4zi3 you2jian4 dou1 ke3yi3.	Gěi wǒ dǎ diànhuà huòzhě fā diànzǐ yóujiàn dōu kěyǐ.	Give me a call or send an email, both will do.	Gọi điện thoại hay gửi email cho tôi đều được.
我们是打车还是坐地铁？	我們是打車還是坐地鐵？	wo3men shi4 da3che1 hai2shi4 zuo4 di4tie3?	Wǒmen shì dǎchē háishì zuò dìtiě?	Are we getting a taxi or taking the subway?	Chúng ta đi taxi hay đi tàu điện ngầm?
为了解决环境问题，人们想了很多办法。	為了解決環境問題，人們想了很多辦法。	wei4le jie3jue2 huan2jing4 wen4ti2, ren2men xiang3le hen3duo1 ban4fa3.	Wèile jiějué huánjìng wèntí, rénmen xiǎngle hěnduō bànfǎ.	To solve environmental problems, people think of a lot of solutions.	Để giải quyết vấn đề môi trường, người ta đã nghĩ ra rất nhiều cách.
除了画画儿，她还喜欢跳舞。	除了畫畫兒，她還喜歡跳舞。	chu2le hua4 hua4 er, ta1 hai2 xi3huan tiao4wu3.	Chúle huà huà er, tā hái xǐhuan tiàowǔ.	Besides painting, she also likes to dance.	Ngoài vẽ tranh ra, cô ấy còn thích khiêu vũ.
请把空调打开。	請把空調打開。	qing3 ba3 kong4tiao2 da3kai1.	Qǐng bǎ kòngtiáo dǎkāi.	Please switch on the air conditioning.	Làm ơn bật điều hòa lên.
鱼被小猫吃了。	魚被小貓吃了。	yu2 bei4 xiao3 mao1 chi1le.	Yú bèi xiǎo māo chīle.	The fish was eaten by the cat.	Con cá bị con mèo ăn mất rồi.
关于这段历史，我知道得很少。	關於這段歷史，我知道得很少。	guan1yu2 zhe4 duan4 li4shi3, wo3 zhi1dao4 de hen3 shao3.	Guānyú zhè duàn lìshǐ, wǒ zhīdào de hěn shǎo.	About this piece of history, I know very little.	Về đoạn lịch sử này, tôi biết rất ít.
我们应该在周末开个会。	我們應該在周末開個會。	wo3men ying1gai1 zai4 zhou1mo4 kai1 ge4 hui4.	Wǒmen yīnggāi zài zhōumò kāi gè huì.	We should have a meeting at the weekend.	Chúng ta nên họp một buổi vào cuối tuần.
你愿意和我结婚吗？	你願意和我結婚嗎？	ni3 yuan4yi4 he2 wo3 jie2hun1 ma?	Nǐ yuànyì hé wǒ jiéhūn ma?	Are you willing to marry me?	Em/Anh có đồng ý kết hôn với anh/em không?
你敢骑马吗？	你敢騎馬嗎？	ni3 gan3 qi2ma3 ma?	Nǐ gǎn qímǎ ma?	Do you dare to ride a horse?	Bạn có dám cưỡi ngựa không?
她高兴地笑了。	她高興地笑了。	ta1 gao1xing4 de xiao4le.	Tā gāoxìng de xiàole.	She laughed happily.	Cô ấy cười một cách vui vẻ.
他是经理吗？	他是經理嗎？	ta1 shi4 jing1li3 ma?	Tā shì jīnglǐ ma?	Is he the manager?	Anh ấy là giám đốc phải không?
真漂亮啊！	真漂亮啊！	zhen1 piao4liang a!	Zhēn piàoliang a!	Very pretty!	Đẹp quá đi mất!
他没去看电影。	他沒去看電影。	ta1 mei2 qu4 kan4 dian4ying3.	Tā méi qù kàn diànyǐng.	He didn't go to the movie.	Anh ấy không đi xem phim.
你别忘了带护照。	你別忘了帶護照。	ni3 bie2 wang4le dai4 hu4zhao4.	Nǐ bié wàngle dài hùzhào.	Don't forget to bring your passport.	Bạn đừng quên mang theo hộ chiếu nhé.
你决定了没有？	你決定了沒有？	ni3 jue2ding4le mei2you3?	Nǐ juédìngle méiyǒu?	have you decided yet?	Bạn đã quyết định chưa?
您要两张票，对吗？	您要兩張票，對嗎？	nin2 yao4 liang3 zhang1 piao4, dui4 ma?	Nín yào liǎng zhāng piào, duì ma?	You need two tickets, right?	Bạn cần hai vé, đúng không?
中午吃面条儿，可以吗？	中午吃面條兒，可以嗎？	zhong1wu3 chi1 mian4tiao2 er, ke3yi3 ma?	Zhōngwǔ chī miàntiáo er, kěyǐ ma?	Noodles for lunch, can we?	Trưa ăn mì sợi có được không?
你喝茶还是喝咖啡？	你喝茶還是喝咖啡？	ni3 he1 cha2 hai2shi4 he1 ka1fei1?	Nǐ hē chá háishì hē kāfēi?	Do you want tea or coffee?	Bạn uống trà hay uống cà phê?
